,0
0,S_F6_ACC_S1
1,N_F3_SG_1_SO
2,N_F2_ACC_S3
3,N_F3_WA_SO
4,S_F4_ACC_N1
5,S_F4_WA_NU
6,S_F4_SG_1_NO
7,S_F4_WA_NO
8,S_F4_WA_RM2
9,N_F2_ACC_S5
10,N_F2_SG_1_NO
11,S_F4_ACC_S1
12,S_F6_WA_SO
13,N_F2_ACC_S1
14,S_F4_SG_1_SO
15,N_F3_ACC_S1
16,S_F4_WA_RM6
17,S_F4_WA_SU
18,N_F3_SG_2_SO
19,N_F2_SG_2_NO
20,N_F3_WA_RM2
21,N_F2_SG_3_SO
22,N_F2_ACC_N3
23,S_F6_SG_1_NU
24,N_F2_ACC_N2
25,N_F3_SG_1_SU
26,N_F3_SG_2_NO
27,S_F4_WA_RM4
28,N_F2_SG_2_NU
29,N_F2_ACC_N1
30,N_F2_ACC_S2
31,N_F3_ACC_N1
32,S_F6_WA_SU
33,S_F4_SG_1_NU
34,S_F6_SG_1_SO
35,N_F2_SG_1_NU
36,S_F6_SG_1_NO
37,S_F4_WA_SO
38,N_F2_ACC_N4
39,N_F2_SG_2_SU
40,S_F5_WA_RM_1
41,N_F3_SG_1_NO
42,N_F3_WA_RM1
43,S_F6_WA_NU
44,S_F6_WA_NO
45,N_F3_WA_NU
46,N_F2_ACC_N5
47,N_F2_SG_3_SU
48,S_F5_ACC_N1
49,S_F4_WA_RM5
50,S_F5_ACC_S2
51,N_F2_SG_3_NU
52,N_F2_ACC_S4
53,N_F2_SG_3_NO
54,N_F3_SG_2_NU
55,S_F5_ACC_N2
56,N_F3_ACC_N3
57,N_F3_ACC_S2
58,S_F5_ACC_S1
59,S_F5_WA_RM_2
60,S_F4_WA_RM1
61,S_F6_SG_1_SU
62,N_F3_SG_2_SU
63,S_F6_ACC_N1
64,N_F3_SG_1_NU
65,N_F3_WA_NO
66,N_F2_SG_1_SU
67,N_F3_ACC_S3
68,N_F2_SG_1_SO
69,S_F4_WA_RM3
70,S_F4_SG_1_SU
71,N_F3_ACC_N2
72,N_F3_WA_SU
73,N_F2_SG_2_SO
